ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.92,0.09,0.0,-56.85,2.6,0.15,-46
2,0.93,0.08,-0.0,-56.75,2.66,0.27,-47
3,0.92,0.07,0.01,-57.13,2.77,0.19,-72
4,0.92,0.07,0.0,-56.98,2.9,0.4,-69
5,0.92,0.08,0.0,-56.75,2.97,0.34,-79
6,0.92,0.08,0.01,-56.84,2.81,0.31,-121
7,0.92,0.07,-0.0,-56.36,2.9,0.23,-124
8,0.92,0.08,0.01,-57.18,2.9,0.31,-70
9,0.92,0.07,0.0,-56.44,2.69,0.19,-110
10,0.92,0.08,0.0,-56.75,2.73,0.3,-101
11,0.92,0.08,0.01,-56.91,2.81,0.21,-96
12,0.92,0.07,0.01,-56.6,2.71,0.08,-49
13,0.92,0.08,0.0,-57.27,2.89,0.08,-48
14,0.92,0.09,0.01,-56.92,2.89,-0.17,-71
15,0.92,0.08,0.01,-57.08,2.78,0.6,-17
16,0.92,0.07,0.01,-56.53,2.78,0.15,-5
17,0.92,0.08,0.01,-57.03,2.71,0.33,-66
18,0.92,0.08,0.01,-56.48,2.48,0.34,-126
19,0.92,0.07,-0.0,-57.01,2.79,0.17,-90
20,0.92,0.07,0.0,-57.13,2.77,0.23,-63
21,0.92,0.08,-0.0,-56.89,2.64,0.26,-110
22,0.93,0.08,0.0,-56.78,2.66,0.5,-151
23,0.92,0.08,-0.0,-57.14,2.89,0.32,-98
24,0.92,0.07,0.01,-57.05,2.84,0.5,-57
25,0.92,0.08,-0.0,-56.96,2.74,0.38,-59
26,0.92,0.08,0.01,-56.6,2.76,0.12,-115
27,0.92,0.08,0.0,-56.83,2.63,0.29,-129
28,0.92,0.08,0.01,-56.58,2.6,0.24,-179
29,0.91,0.07,0.01,-56.82,2.73,0.34,-171
30,0.92,0.08,-0.0,-56.85,2.85,0.35,-154
31,0.92,0.08,0.0,-56.32,2.67,0.27,-141
32,0.92,0.07,-0.0,-56.47,2.79,0.47,-113
33,0.92,0.08,0.0,-56.89,2.72,0.56,-125
34,0.92,0.08,0.01,-56.72,2.62,0.41,-132
35,0.92,0.07,0.0,-56.4,2.66,0.6,-185
36,0.92,0.08,0.0,-56.68,2.84,0.52,-110
37,0.92,0.08,0.0,-56.66,2.9,0.18,-112
38,0.92,0.08,0.0,-56.95,2.77,0.52,-98
39,0.92,0.07,0.01,-56.44,2.62,0.84,-112
40,0.92,0.07,0.0,-57.08,2.78,1.12,-157
41,0.92,0.06,0.02,-56.97,2.57,3.67,-250
42,0.92,0.06,0.01,-56.66,2.5,8.38,-383
43,0.93,0.04,0.01,-57.02,2.41,10.13,-795
44,0.92,0.02,0.01,-56.75,2.56,11.1,-1139
45,0.92,0.0,0.01,-56.77,2.66,11.84,-1501
46,0.92,-0.02,0.0,-57.11,2.56,13.12,-2090
47,0.92,-0.04,-0.0,-56.95,2.6,14.44,-2883
48,0.92,-0.07,0.0,-57.14,2.63,16.37,-3694
49,0.92,-0.1,0.0,-56.89,2.59,17.44,-4572
50,0.92,-0.13,-0.0,-57.14,2.15,17.5,-5606
51,0.91,-0.16,0.0,-57.05,2.31,17.84,-6662
52,0.91,-0.19,-0.0,-57.15,2.46,15.67,-7689
53,0.9,-0.22,-0.01,-56.76,2.54,12.59,-8768
54,0.9,-0.23,0.0,-56.53,2.72,7.76,-9758
55,0.9,-0.24,-0.0,-56.71,2.75,3.3,-10621
56,0.89,-0.25,-0.0,-56.6,2.69,0.14,-11451
57,0.9,-0.25,-0.01,-56.53,2.92,0.47,-11996
58,0.9,-0.25,-0.01,-56.29,2.56,0.78,-12665
59,0.9,-0.26,-0.0,-56.57,2.79,1.98,-12738
60,0.9,-0.25,-0.0,-56.84,2.73,4.27,-12830
61,0.9,-0.27,-0.01,-57.0,2.69,6.37,-12989
62,0.89,-0.27,-0.01,-56.92,2.87,7.4,-13191
63,0.89,-0.29,-0.01,-56.83,2.5,7.95,-13497
64,0.89,-0.31,-0.01,-57.08,2.65,7.79,-13775
65,0.89,-0.32,-0.0,-56.61,2.63,7.69,-14161
66,0.88,-0.33,-0.01,-56.85,2.79,7.59,-14584
67,0.86,-0.35,-0.01,-56.94,2.57,8.17,-15077
68,0.86,-0.36,-0.01,-56.69,2.6,9.14,-15532
69,0.86,-0.38,-0.01,-56.63,2.7,10.17,-16072
70,0.85,-0.39,-0.02,-56.45,2.73,9.79,-16681
71,0.84,-0.4,-0.02,-56.41,2.53,10.2,-17230
72,0.84,-0.42,-0.02,-57.19,2.64,9.05,-17795
73,0.83,-0.44,-0.02,-56.88,2.69,8.31,-18376
74,0.83,-0.45,-0.02,-57.04,2.66,7.53,-18863
75,0.83,-0.45,-0.02,-56.63,2.68,6.98,-19390
76,0.82,-0.47,-0.02,-56.55,2.54,5.66,-19919
77,0.81,-0.47,-0.02,-56.93,2.57,3.98,-20432
78,0.81,-0.48,-0.03,-56.03,2.57,1.62,-20812
79,0.81,-0.48,-0.01,-56.12,2.6,1.5,-21156
80,0.81,-0.48,-0.02,-56.42,2.75,3.24,-21525
81,0.8,-0.49,-0.02,-56.48,2.53,5.13,-21770
82,0.81,-0.51,-0.02,-56.53,2.73,7.1,-21970
83,0.79,-0.52,-0.02,-56.68,2.77,8.85,-22160
84,0.77,-0.54,-0.03,-56.63,2.57,10.34,-22440
85,0.78,-0.54,-0.03,-56.7,2.39,10.89,-22888
86,0.77,-0.56,-0.03,-56.6,2.57,9.53,-23404
87,0.76,-0.57,-0.03,-56.56,2.64,8.94,-23792
88,0.74,-0.59,-0.03,-57.1,2.76,8.48,-24228
89,0.75,-0.59,-0.03,-56.76,2.55,8.06,-24840
90,0.74,-0.61,-0.04,-57.08,2.56,7.58,-25317
91,0.73,-0.63,-0.03,-56.89,2.57,7.98,-25758
92,0.72,-0.63,-0.03,-56.98,2.4,9.19,-26204
93,0.71,-0.64,-0.05,-56.61,2.44,9.74,-26644
94,0.7,-0.66,-0.04,-56.81,2.75,8.11,-27104
95,0.69,-0.66,-0.05,-56.52,2.47,7.03,-27465
96,0.68,-0.68,-0.04,-56.34,2.7,6.9,-27768
97,0.67,-0.69,-0.05,-56.89,2.77,9.52,-28149
98,0.66,-0.7,-0.04,-57.0,2.76,11.11,-28655
99,0.65,-0.72,-0.05,-56.72,2.63,11.31,-29177
100,0.63,-0.74,-0.06,-56.65,2.78,11.48,-29605
101,0.62,-0.74,-0.05,-56.67,2.66,10.95,-30502
102,0.6,-0.76,-0.04,-56.73,2.72,10.11,-30968
103,0.59,-0.77,-0.05,-56.22,2.47,9.53,-31317
104,0.58,-0.78,-0.05,-56.79,2.54,8.52,-31829
105,0.57,-0.79,-0.07,-56.11,2.56,8.22,-32286
106,0.56,-0.79,-0.07,-56.76,2.4,8.46,-32654
107,0.54,-0.8,-0.06,-56.83,2.66,8.08,-33126
108,0.53,-0.81,-0.06,-56.41,2.71,7.63,-33529
109,0.52,-0.82,-0.06,-56.32,2.57,7.56,-33808
110,0.51,-0.84,-0.06,-56.53,2.55,8.16,-34138
111,0.5,-0.83,-0.07,-56.44,2.6,8.96,-34396
112,0.49,-0.85,-0.08,-57.08,2.69,10.33,-34669
113,0.47,-0.86,-0.07,-56.95,2.75,11.87,-35018
114,0.45,-0.88,-0.08,-57.03,2.48,12.21,-35425
115,0.42,-0.89,-0.09,-56.82,2.62,11.66,-35760
116,0.42,-0.89,-0.08,-56.55,2.79,10.76,-36073
117,0.4,-0.9,-0.09,-57.13,2.67,10.19,-36405
118,0.38,-0.91,-0.09,-56.41,2.87,9.79,-36782
119,0.37,-0.92,-0.09,-56.51,2.62,10.32,-37203
120,0.35,-0.93,-0.08,-56.9,2.85,10.86,-37515
121,0.34,-0.94,-0.1,-56.86,2.71,11.03,-37789
122,0.32,-0.94,-0.1,-57.18,2.9,10.42,-38341
123,0.3,-0.95,-0.12,-56.77,2.62,7.65,-38575
124,0.29,-0.96,-0.11,-56.43,2.77,8.5,-38677
125,0.27,-0.96,-0.1,-57.08,2.69,12.08,-38907
126,0.25,-0.97,-0.1,-56.82,2.8,13.87,-39480
127,0.23,-0.97,-0.11,-57.0,2.45,14.09,-39744
128,0.2,-0.98,-0.11,-57.03,2.52,13.43,-39857
129,0.18,-1.0,-0.12,-56.69,2.58,12.85,-39934
130,0.16,-1.0,-0.13,-57.03,2.43,12.29,-40109
131,0.14,-0.99,-0.13,-56.82,2.6,12.06,-40310
132,0.11,-1.0,-0.13,-56.47,2.8,10.8,-40578
133,0.11,-1.0,-0.13,-55.46,2.66,8.63,-40771
134,0.08,-1.01,-0.13,-56.67,2.77,10.5,-40804
135,0.07,-1.01,-0.14,-56.74,2.62,13.34,-40913
136,0.04,-1.01,-0.14,-56.89,2.56,15.28,-41294
137,0.0,-1.02,-0.14,-57.11,2.48,16.51,-41509
138,-0.02,-1.02,-0.14,-56.82,2.62,15.81,-41581
139,-0.05,-1.03,-0.16,-57.5,2.69,15.93,-41662
140,-0.07,-1.04,-0.16,-56.41,2.45,17.32,-41585
141,-0.1,-1.02,-0.17,-56.4,2.76,16.15,-41596
142,-0.13,-1.0,-0.16,-56.85,2.5,12.56,-41723
143,-0.15,-1.02,-0.17,-57.03,2.61,12.05,-41357
144,-0.18,-1.02,-0.17,-56.88,2.68,14.73,-41260
145,-0.2,-1.01,-0.17,-56.98,2.4,16.24,-41591
146,-0.24,-1.0,-0.18,-57.29,2.52,16.62,-41628
147,-0.26,-1.0,-0.17,-56.91,2.5,15.98,-41307
148,-0.29,-0.98,-0.18,-57.07,2.45,15.84,-40957
149,-0.31,-0.98,-0.19,-56.86,2.6,15.78,-40713
150,-0.34,-0.98,-0.21,-56.88,2.51,13.91,-40623
151,-0.36,-0.97,-0.19,-56.76,2.42,10.34,-40380
152,-0.38,-0.97,-0.19,-56.71,2.57,11.88,-39973
153,-0.4,-0.96,-0.2,-56.83,2.56,12.89,-39729
154,-0.43,-0.95,-0.2,-56.49,2.73,13.27,-39774
155,-0.44,-0.94,-0.21,-56.56,2.52,14.24,-39539
156,-0.47,-0.93,-0.2,-56.79,2.85,14.98,-39172
157,-0.49,-0.92,-0.2,-56.73,2.83,15.09,-38893
158,-0.52,-0.9,-0.21,-56.44,2.6,13.11,-38552
159,-0.54,-0.89,-0.21,-56.6,2.86,8.56,-38033
160,-0.54,-0.89,-0.22,-56.7,2.92,3.69,-37424
161,-0.54,-0.89,-0.22,-56.69,2.76,1.02,-36871
162,-0.55,-0.9,-0.23,-56.66,2.88,1.57,-36510
163,-0.55,-0.89,-0.22,-56.31,2.77,3.84,-36459
164,-0.56,-0.89,-0.22,-56.53,2.74,5.52,-36628
165,-0.57,-0.89,-0.22,-56.34,2.67,7.29,-36714
166,-0.57,-0.87,-0.22,-56.73,2.55,9.86,-36558
167,-0.59,-0.87,-0.23,-56.32,2.79,11.13,-36383
168,-0.61,-0.85,-0.23,-56.65,2.71,12.03,-36078
169,-0.63,-0.84,-0.23,-56.47,2.43,12.07,-35654
170,-0.65,-0.83,-0.24,-56.61,2.58,13.1,-35217
171,-0.67,-0.81,-0.24,-56.73,2.52,15.02,-34818
172,-0.68,-0.79,-0.24,-56.47,2.51,15.33,-34406
173,-0.71,-0.78,-0.24,-56.92,2.44,15.35,-33848
174,-0.74,-0.75,-0.25,-56.76,2.27,15.33,-33120
175,-0.72,-0.71,-0.21,-57.12,3.27,13.66,-32465
176,-0.76,-0.73,-0.24,-56.66,2.42,14.62,-31741
177,-0.79,-0.71,-0.25,-56.88,2.5,14.87,-31197
178,-0.81,-0.69,-0.26,-57.21,2.74,14.44,-30671
179,-0.82,-0.66,-0.26,-56.82,2.4,14.34,-30025
180,-0.83,-0.64,-0.26,-56.84,2.53,13.06,-29343
181,-0.84,-0.63,-0.25,-56.63,2.64,13.02,-28632
182,-0.86,-0.61,-0.25,-56.69,2.68,13.18,-27835
183,-0.87,-0.6,-0.25,-56.85,2.47,12.67,-27127
184,-0.89,-0.57,-0.26,-56.92,2.48,12.74,-26427
185,-0.9,-0.56,-0.27,-56.48,2.71,13.05,-25781
186,-0.91,-0.53,-0.28,-56.24,2.52,12.06,-24511
187,-0.92,-0.52,-0.27,-56.5,2.37,12.96,-23769
188,-0.94,-0.49,-0.27,-56.97,2.77,14.47,-23056
189,-0.95,-0.47,-0.26,-57.11,2.63,17.25,-22480
190,-0.96,-0.43,-0.26,-57.08,2.49,20.26,-21738
191,-0.97,-0.41,-0.27,-57.12,2.27,23.56,-21002
192,-1.0,-0.36,-0.27,-57.16,2.31,26.97,-19900
193,-1.01,-0.32,-0.28,-57.27,2.42,29.75,-18710
194,-1.02,-0.26,-0.28,-57.19,2.35,32.95,-17178
195,-1.03,-0.21,-0.27,-57.49,2.5,34.38,-15419
196,-1.05,-0.14,-0.28,-57.12,2.47,35.92,-13609
197,-1.05,-0.07,-0.28,-57.24,2.39,34.21,-11492
198,-1.05,-0.01,-0.29,-57.35,2.41,29.49,-9201
199,-1.05,0.04,-0.28,-57.13,1.89,29.15,-6714
200,-1.05,0.09,-0.28,-57.49,2.16,27.11,-4118
201,-1.05,0.14,-0.26,-57.04,2.52,26.02,-2120
202,-1.04,0.19,-0.27,-57.2,2.31,26.44,-243
203,-1.02,0.23,-0.26,-57.21,2.77,23.18,1574
204,-1.01,0.27,-0.27,-56.67,2.6,22.4,3190
205,-1.01,0.3,-0.26,-57.04,2.73,22.11,4972
206,-0.99,0.34,-0.26,-57.09,2.65,21.76,6400
207,-0.98,0.38,-0.25,-57.11,2.69,20.78,9225
208,-0.96,0.42,-0.29,-56.34,2.48,16.27,10509
209,-0.94,0.43,-0.27,-56.83,2.43,17.66,11944
210,-0.93,0.46,-0.26,-57.0,2.59,18.4,13166
211,-0.92,0.49,-0.25,-56.73,2.52,18.58,13848
212,-0.9,0.52,-0.25,-57.05,2.48,19.15,14827
213,-0.88,0.56,-0.24,-56.62,2.37,18.55,15928
214,-0.86,0.58,-0.24,-56.77,2.4,17.43,16883
215,-0.84,0.6,-0.24,-56.49,2.38,18.46,18050
216,-0.82,0.63,-0.23,-56.43,2.72,19.75,19111
217,-0.79,0.66,-0.23,-56.98,2.6,21.08,19907
218,-0.78,0.7,-0.26,-57.26,1.97,21.31,20728
219,-0.75,0.71,-0.24,-56.44,2.35,18.4,21733
220,-0.72,0.74,-0.22,-56.6,2.61,19.83,22895
221,-0.69,0.75,-0.22,-56.9,2.39,20.74,23967
222,-0.66,0.78,-0.21,-56.73,2.43,19.67,24626
223,-0.63,0.8,-0.21,-56.85,2.66,17.82,25409
224,-0.61,0.82,-0.2,-56.44,2.76,17.83,26354
225,-0.58,0.83,-0.2,-56.83,2.55,18.27,27203
226,-0.55,0.84,-0.19,-56.4,2.82,18.42,27769
227,-0.52,0.87,-0.19,-56.63,2.34,17.82,28340
228,-0.5,0.87,-0.18,-56.81,2.51,19.83,29745
229,-0.46,0.9,-0.18,-57.23,2.47,22.76,30208
230,-0.41,0.92,-0.17,-56.82,2.57,25.28,30512
231,-0.39,0.93,-0.17,-57.08,2.24,25.83,30998
232,-0.33,0.95,-0.17,-57.01,2.59,25.5,31574
233,-0.29,0.96,-0.16,-56.97,2.58,22.15,32247
234,-0.26,0.96,-0.16,-56.65,2.55,20.52,32858
235,-0.21,0.97,-0.15,-56.87,2.62,19.13,33457
236,-0.19,0.98,-0.14,-56.92,2.73,17.99,33681
237,-0.17,0.99,-0.15,-56.78,2.56,15.96,33856
238,-0.13,0.96,-0.13,-56.79,2.58,18.47,34093
239,-0.09,0.96,-0.13,-56.99,2.31,27.05,34301
240,-0.03,1.0,-0.12,-56.73,2.45,30.45,33999
241,0.03,0.95,-0.11,-57.64,2.24,42.96,33488
242,0.1,0.96,-0.1,-57.22,2.27,36.52,33695
243,0.15,0.96,-0.1,-56.75,2.3,29.11,33737
244,0.19,0.95,-0.09,-57.09,2.69,23.1,34170
245,0.24,0.93,-0.09,-57.05,2.5,21.29,33974
246,0.27,0.92,-0.07,-56.69,2.24,24.11,33628
247,0.32,0.9,-0.07,-56.92,2.56,27.48,32960
248,0.36,0.88,-0.06,-57.22,2.4,30.92,32064
249,0.42,0.85,-0.06,-57.15,2.39,32.71,30682
250,0.47,0.83,-0.05,-57.26,2.29,32.44,29891
251,0.52,0.8,-0.05,-57.58,2.39,31.18,29045
252,0.56,0.77,-0.04,-56.91,2.7,28.1,28112
253,0.59,0.73,-0.04,-57.15,2.75,25.35,27000
254,0.62,0.71,-0.03,-56.42,2.66,21.91,25832
255,0.65,0.68,-0.04,-56.44,2.35,19.1,24775
256,0.67,0.65,-0.02,-56.89,2.66,15.95,23694
257,0.7,0.62,-0.02,-56.44,2.53,19.36,22716
258,0.71,0.6,-0.01,-56.84,2.32,23.37,21655
259,0.74,0.56,-0.02,-56.59,2.45,24.65,20327
260,0.76,0.52,-0.01,-56.88,2.73,25.89,19256
261,0.79,0.49,-0.01,-56.89,2.49,24.49,18266
262,0.81,0.44,-0.01,-56.93,2.4,22.99,17056
263,0.83,0.4,-0.0,-56.94,2.29,23.98,15780
264,0.85,0.36,-0.0,-56.92,2.26,27.27,14512
265,0.87,0.32,-0.01,-56.96,1.8,29.69,12898
266,0.89,0.27,0.01,-57.05,1.97,30.98,11265
267,0.9,0.21,0.01,-56.85,2.33,27.09,9629
268,0.91,0.16,0.0,-57.44,2.08,29.43,7915
269,0.92,0.11,-0.0,-57.18,2.08,31.23,6386
270,0.93,0.06,0.01,-56.82,2.46,31.66,2244
271,0.93,-0.0,0.0,-56.95,2.28,30.11,388
272,0.93,-0.06,0.01,-57.3,2.04,29.08,-1372
273,0.92,-0.11,0.0,-56.82,2.21,28.59,-3340
274,0.91,-0.15,-0.01,-56.94,2.16,28.58,-5454
275,0.9,-0.2,-0.0,-57.03,2.78,26.25,-7353
276,0.91,-0.25,-0.01,-56.85,2.41,22.55,-9086
277,0.89,-0.29,-0.0,-56.97,2.45,23.63,-10650
278,0.88,-0.33,0.0,-56.66,2.39,23.89,-12294
279,0.87,-0.38,-0.01,-56.46,2.76,23.63,-14011
280,0.84,-0.41,-0.02,-56.09,2.45,22.21,-15565
281,0.83,-0.45,-0.01,-56.73,2.41,22.11,-16938
282,0.8,-0.48,-0.02,-56.11,2.46,22.57,-18225
283,0.79,-0.52,-0.03,-56.85,2.79,23.85,-19598
284,0.77,-0.55,-0.06,-55.79,2.34,21.38,-21065
285,0.75,-0.59,-0.03,-56.27,2.4,22.53,-22535
286,0.73,-0.62,-0.04,-57.07,2.27,22.76,-23413
287,0.7,-0.66,-0.04,-57.13,2.54,23.65,-24721
288,0.67,-0.69,-0.04,-57.05,2.66,22.92,-26159
289,0.65,-0.72,-0.05,-56.75,2.3,22.22,-27330
290,0.62,-0.75,-0.04,-57.05,2.43,25.34,-28466
291,0.58,-0.78,-0.06,-57.25,2.27,29.0,-30869
292,0.53,-0.81,-0.06,-57.09,2.33,31.53,-32149
293,0.5,-0.84,-0.08,-56.91,2.45,28.47,-33257
294,0.46,-0.89,-0.07,-56.74,2.9,32.63,-34113
295,0.39,-0.91,-0.09,-57.42,2.15,34.67,-35182
296,0.34,-0.93,-0.1,-57.15,2.28,35.03,-36510
297,0.28,-0.95,-0.09,-57.1,2.46,32.05,-37494
298,0.23,-0.95,-0.11,-56.68,2.26,21.66,-38193
299,0.19,-1.0,-0.12,-57.18,2.67,33.23,-38754
300,0.13,-1.01,-0.12,-57.32,2.45,35.08,-39658
301,0.06,-1.0,-0.14,-57.19,2.25,33.47,-40846
302,0.01,-1.02,-0.15,-57.21,2.34,31.57,-40983
303,-0.05,-1.01,-0.15,-57.03,2.67,34.89,-41081
304,-0.12,-1.02,-0.16,-56.61,2.39,35.45,-41417
305,-0.17,-1.01,-0.16,-56.44,2.32,32.21,-41894
306,-0.23,-1.01,-0.18,-56.59,2.5,30.24,-41591
307,-0.28,-0.99,-0.19,-56.32,2.28,28.98,-41284
