ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.98,0.11,0.02,10.03,0.36,0.2,-28
2,0.98,0.1,0.03,10.04,0.35,0.19,-28
3,0.98,0.1,0.02,10.08,0.21,0.11,-28
4,0.99,0.11,0.02,10.11,0.24,0.02,-28
5,0.99,0.11,0.03,10.15,0.08,0.18,-28
6,0.98,0.11,0.02,9.64,0.44,0.15,-51
7,0.98,0.11,0.02,9.89,0.4,0.06,-51
8,0.98,0.1,0.03,10.23,0.5,0.2,-51
9,0.99,0.11,0.03,9.83,0.2,0.24,-51
10,0.98,0.1,0.02,10.37,0.47,0.15,-51
11,0.98,0.11,0.03,10.26,0.27,0.21,-51
12,0.99,0.1,0.02,10.16,0.35,0.28,-51
13,0.98,0.1,0.02,10.05,0.31,0.05,-51
14,0.99,0.11,0.02,10.15,0.42,0.17,-51
15,0.99,0.1,0.03,9.92,0.26,0.27,-51
16,0.98,0.11,0.03,9.92,0.21,0.16,-51
17,0.98,0.1,0.03,9.88,0.35,0.11,-51
18,0.98,0.11,0.03,9.95,0.35,0.24,-120
19,0.99,0.1,0.02,10.12,0.36,0.21,-120
20,0.99,0.11,0.03,10.42,0.46,0.05,-120
21,0.99,0.11,0.02,10.37,0.32,0.28,-120
22,0.98,0.1,0.03,10.4,0.32,0.23,-120
23,0.99,0.11,0.03,9.79,0.31,0.21,-120
24,0.99,0.1,0.02,10.3,0.4,0.27,-120
25,0.98,0.1,0.02,10.01,0.4,0.32,-120
26,0.99,0.11,0.02,9.71,0.44,0.21,-120
27,0.99,0.11,0.02,9.82,0.5,0.21,-120
28,0.98,0.1,0.02,9.76,0.24,0.13,-120
29,0.98,0.11,0.03,9.87,0.25,0.23,-120
30,0.98,0.11,0.02,10.03,0.29,0.19,-120
31,0.99,0.1,0.02,9.85,0.33,0.08,-105
32,0.98,0.11,0.03,9.53,0.29,0.25,-105
33,0.98,0.11,0.02,9.89,0.37,0.3,-105
34,0.98,0.1,0.02,9.77,0.4,0.18,-105
35,0.98,0.1,0.03,10.1,0.52,0.18,-105
36,0.99,0.1,0.02,10.45,0.44,0.19,-105
37,0.98,0.11,0.03,10.13,0.49,0.21,-105
38,0.98,0.11,0.03,9.71,0.27,0.25,-105
39,0.99,0.11,0.02,9.9,0.32,0.25,-105
40,0.99,0.1,0.02,9.99,0.38,0.3,-105
41,0.98,0.1,0.03,10.23,0.39,0.18,-105
42,0.99,0.1,0.03,10.36,0.19,0.24,-105
43,0.98,0.1,0.03,10.05,0.21,0.23,-81
44,0.98,0.1,0.02,10.19,0.31,0.08,-81
45,0.98,0.1,0.03,10.17,0.45,0.11,-81
46,0.98,0.1,0.03,10.25,0.43,0.17,-81
47,0.98,0.11,0.03,10.2,0.32,0.23,-81
48,0.98,0.1,0.03,10.31,0.25,0.0,-81
49,0.98,0.1,0.03,10.13,0.37,0.15,-81
50,0.98,0.11,0.02,10.28,0.37,0.11,-81
51,0.99,0.1,0.03,10.02,0.4,0.23,-81
52,0.98,0.11,0.03,10.18,0.21,0.03,-81
53,0.99,0.1,0.03,9.98,0.34,0.12,-81
